	p_val	dpi	max_iso_1	dpi_iso_1	max_iso_2	dpi_iso_2	adj_p_val
Adcy7	0.007867509054787654	15.909090995788574	Adcy7_1	6.25	Adcy7_3	9.659090995788574	0.03877558034145343
Anxa6	1.3209437062101462e-06	75.85034942626953	Anxa6_1	47.108848571777344	Anxa6_9	-28.741498947143555	3.4179418398187535e-05
Calm1	0.003019391088267822	34.75065612792969	Calm1_1	17.375328063964844	Calm1_2	-17.375328063964844	0.02083379850904797
Calr	0.00022004748427443703	81.497802734375	Calr_2	40.7489013671875	Calr_1	-40.748897552490234	0.002169039487848022
Cbx5	0.004950674854534264	65.66666412353516	Cbx5_3	33.0	Cbx5_2	-32.666664123535156	0.03014087337907625
Cdc42ep3	7.3329786212531224e-06	115.65217590332031	Cdc42ep3_1	57.826087951660156	Cdc42ep3_2	-57.82609176635742	0.00012649388121661637
Col1a2	0.00015233276975760502	40.680999755859375	Col1a2_7	36.55913543701172	Col1a2_4	4.121862888336182	0.0016596254389381177
Col3a1	0.0018615408137847287	32.02988792029887	Col3a1_10	25.628891656288907	Col3a1_12	-6.400996264009962	0.014271812905682921
Crebbp	0.0028381488636017773	44.59691252144083	Crebbp_8	15.780445969125214	Crebbp_12	-28.81646655231561	0.0202585108539851
Ctnnb1	0.005916348994756284	37.762237548828125	Ctnnb1_5	29.790210723876953	Ctnnb1_1	7.972028732299805	0.03140216004909105
Eif3a	3.9571120406815944e-05	62.92458724975586	Eif3a_5	44.617156982421875	Eif3a_4	-18.307430267333984	0.0005280348340716044
Eno1b	6.017332293364836e-11	89.2107925415039	Eno1b_2	44.60539627075195	Eno1b_1	-44.60539627075195	2.610933692421875e-09
Gm13394	4.0719269235542983e-13	79.13850402832031	Gm13394_4	38.84239959716797	Gm13394_2	-40.296104431152344	4.214444365878699e-11
Golgb1	0.005260773139286246	69.36508178710938	Golgb1_6	42.53968048095703	Golgb1_4	-26.825397491455078	0.030249445550895912
Hsp90ab1	2.7546885985547417e-07	51.08058547973633	Hsp90ab1_1	26.50328826904297	Hsp90ab1_2	-24.57729721069336	8.146007712869022e-06
Hsp90b1	1.131078622055471e-05	41.95811462402344	Hsp90b1_2	39.62648010253906	Hsp90b1_4	2.3316354751586914	0.00016723805340391608
Igfbp5	1.1458403428338344e-07	63.692352294921875	Igfbp5_1	-29.052541732788086	Igfbp5_2	34.639808654785156	3.953149182776729e-06
Kif5b	0.0006929656172035578	32.910321489001696	Kif5b_11	32.588832487309645	Kif5b_7	-0.32148900169204797	0.006236690554832021
Map1b	6.437659991005788e-12	114.61131286621094	Map1b_1	57.30565643310547	Map1b_2	-57.305660247802734	4.4419853937939936e-10
Mbtps1	3.6700131407612266e-06	111.66667175292969	Mbtps1_1	51.66667175292969	Mbtps1_2	-60.000003814697266	7.596927201375739e-05
Myh9	0.002630439269473399	18.44512176513672	Myh9_4	8.485771179199219	Myh9_2	9.959349632263184	0.019446461742178345
Nedd4	0.0002141010460247899	74.21568298339844	Nedd4_2	37.10784149169922	Nedd4_1	-37.107845306396484	0.002169039487848022
Pabpc1	0.010189258042200366	56.718902587890625	Pabpc1_1	28.359451293945312	Pabpc1_2	-28.359451293945312	0.048957937794950536
Phldb2	5.181214413092188e-06	70.80200958251953	Phldb2_4	31.453636169433594	Phldb2_1	-39.34837341308594	9.750103486455299e-05
Plec	0.0009805859215860089	32.09626770019531	Plec_4	31.009313583374023	Plec_7	-1.0869560241699219	0.008119251430732154
