	p_val	dpi	max_iso_1	dpi_iso_1	max_iso_2	dpi_iso_2	adj_p_val
Soat1	5.453341843117681e-06	117.37089538574219	Soat1-207	73.23943328857422	Soat1-203	-44.13146209716797	4.6742930083865835e-05
Vim	6.271408702967667e-06	37.545658111572266	Vim-201	21.678253173828125	Vim-205	-15.86740493774414	4.70355652722575e-05
Lmna	2.582530085693143e-14	44.184913635253906	Lmna-201	22.103759765625	Lmna-203	22.081153869628906	5.165060171386286e-13
Ube2d3	0.004753018255111302	73.78581237792969	Ube2d3-203	-47.7584114074707	Ube2d3-212	26.02739715576172	0.014259054765333908
Git2	0.0001948052353241083	20.370370864868164	Git2-217	0.0	Git2-204	20.370370864868164	0.0007792209412964332
Bhlhe40	3.682198088620834e-05	139.2045440673828	Bhlhe40-204	-66.4772720336914	Bhlhe40-201	72.7272720336914	0.00020084716847022733
Gpi1	0.0001619489777834162	110.25640869140625	Gpi1-201	57.69230270385742	Gpi1-211	-52.56410598754883	0.0007121071602433599
Snrnp70	0.0014746975269704773	95.65435028076172	Snrnp70-201	50.0	Snrnp70-213	-45.65435028076172	0.005204814801072273
3110039I08Rik	0.00016615833739011733	19.983110427856445	3110039I08Rik-205	9.456794738769531	3110039I08Rik-215	-10.526315689086914	0.0007121071602433599
Pkm	2.1416084743262433e-12	41.3736572265625	Pkm-201	33.339630126953125	Pkm-202	8.034027099609375	2.569930169191492e-11
Nedd4	4.9542198963376246e-05	102.93061828613281	Nedd4-201	63.39712905883789	Nedd4-206	-39.53349304199219	0.0002477109948168812
Eef1a1	1.088447380603747e-22	48.8625373840332	Eef1a1-201	31.69344711303711	Eef1a1-206	-17.169090270996094	6.530684283622481e-21
Sparc	2.130890955205756e-15	67.5510025024414	Sparc-201	29.169696807861328	Sparc-203	-38.38130569458008	6.392672865617268e-14
Npepps	0.000612597918231088	40.12066650390625	Npepps-218	-0.9049797058105469	Npepps-201	39.2156867980957	0.0022972421933665802
Calm1	4.210529879188293e-06	53.67329406738281	Calm1-202	25.99394989013672	Calm1-203	-27.679344177246094	4.210529879188293e-05
Map1b	3.0358796694092997e-05	39.4202880859375	ENCODEMT000340816	6.086952209472656	Map1b-204	33.333335876464844	0.000182152780164558
Pabpc1	0.004660050340122393	78.01248168945312	Pabpc1-201	45.12921142578125	Pabpc1-204	-32.88327407836914	0.014259054765333908
Atf4	0.0021150958354786056	94.19703674316406	Atf4-201	47.098514556884766	Atf4-203	-47.09851837158203	0.0070503194515953525
Pcdhgc3	0.005252675519413996	73.7735824584961	Pcdhgc3-203	-36.88679122924805	Pcdhgc3-201	36.88679122924805	0.015007644341182848
Cfl1	1.1313659856346352e-05	48.59307861328125	Cfl1-202	23.70130157470703	Cfl1-203	-24.891775131225586	7.542439904230902e-05
Bgn	8.603932942381901e-13	93.97671508789062	Bgn-201	55.82176208496094	Bgn-202	-38.15494918823242	1.2905899413572851e-11
