	p_val	dpi	max_iso_1	dpi_iso_1	max_iso_2	dpi_iso_2	adj_p_val
Tnnt2	4.4323399825376835e-07	70.9150390625	ENCODEMT000413937	-35.29411697387695	Tnnt2-210	35.62091827392578	3.6566804855935887e-06
Lmna	6.560371151190612e-05	76.86471557617188	Lmna-201	50.87568664550781	Lmna-203	-25.989025115966797	0.0003092746399847003
Tpm2	1.6033354294745183e-06	97.80702209472656	Tpm2-202	-64.47368621826172	Tpm2-203	33.333335876464844	1.058201383453182e-05
Actb	3.0764464560568365e-15	46.27330017089844	Actb-201	27.880897521972656	Actb-205	-18.39240074157715	1.015227330498756e-13
Snrnp70	0.0001434318303411	94.3722915649414	Snrnp70-201	50.0	Snrnp70-213	-44.372291564941406	0.0005259167112507001
Nav2	8.439363924348433e-05	54.02504348754883	Nav2-213	19.499103546142578	Nav2-206	-34.52593994140625	0.0003481237618793729
Ankrd10	0.007328632177595099	94.11764526367188	Ankrd10-207	-52.94117736816406	Ankrd10-201	41.17647171020508	0.01860345091235679
3110039I08Rik	3.0347071375965606e-08	38.93048095703125	3110039I08Rik-205	18.93048095703125	3110039I08Rik-215	-20.0	3.3381778513562164e-07
Pkm	1.8065286260271296e-08	44.706993103027344	Pkm-201	36.67296600341797	Pkm-202	8.034027099609375	2.9807722329447637e-07
Nedd4	5.6059350611313135e-05	123.76394653320312	Nedd4-201	63.39712905883789	Nedd4-206	-60.3668212890625	0.00030832642836222226
Map1b	0.004428015776151396	17.753623962402344	ENCODEMT000340816	1.0869560241699219	Map1b-204	16.666667938232422	0.01328404732845419
Nisch	0.00036874759262696486	76.60098266601562	Nisch-208	24.630538940429688	Nisch-212	-51.9704475402832	0.001216867055668984
Mtdh	0.01563952879726486	71.15516662597656	Mtdh-209	-38.824337005615234	Mtdh-201	32.33082580566406	0.03686460359355289
Vegfa	0.005208231478450513	19.032257080078125	Vegfa-209	1.5053749084472656	Vegfa-201	17.52688217163086	0.014322636565738912
