p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.918062826	0.916	0.385	0	R1	Spp1
0	0.601460574	0.99	0.798	0	R1	Actb
0	0.571741815	0.922	0.485	0	R1	Vim
0	0.506835847	0.767	0.283	0	R1	Ccnd1
0	0.449859348	0.677	0.241	0	R1	Pkm
0	0.446730259	0.821	0.354	0	R1	Grem1
0	0.42562656	0.805	0.37	0	R1	Pabpc1
0	0.386847528	0.852	0.497	0	R1	Lmna
0	0.376955877	0.592	0.203	0	R1	Anxa2
0	0.369309558	0.949	0.761	0	R1	Ncl
0	0.36882448	0.601	0.212	0	R1	Prkg2
0	0.348095383	0.726	0.354	0	R1	Hsp90aa1
0	0.336715931	0.601	0.245	0	R1	Npm1
0	0.33668777	0.529	0.173	0	R1	Gpd2
0	0.33587666	0.817	0.463	0	R1	Calm1
0	0.331224739	0.843	0.495	0	R1	Hsp90ab1
0	0.324877942	0.526	0.185	0	R1	Tubb5
0	0.319523415	0.477	0.141	0	R1	Eif5a
0	0.300595653	0.525	0.203	0	R1	Npnt
0	0.293345458	0.511	0.183	0	R1	Pa2g4
0	0.291269641	0.553	0.234	0	R1	Atp5b
0	0.285877616	0.474	0.162	0	R1	Ywhaz
0	0.284587283	0.531	0.209	0	R1	Alcam
0	0.283690484	0.589	0.278	0	R1	Eif4g2
0	0.282490338	0.477	0.167	0	R1	Pcbp2
0	0.27303533	0.502	0.199	0	R1	Cfl1
0	0.262665942	0.372	0.093	0	R1	Slc25a5
0	0.251992918	0.448	0.171	0	R1	Fth1
0	0.247220153	0.478	0.2	0	R1	Hspa9
0	0.24073021	0.429	0.159	0	R1	Ybx1
0	0.237250592	0.453	0.181	0	R1	Ddx3x
0	0.234354828	0.413	0.148	0	R1	Hnrnpab
0	0.234157534	0.402	0.14	0	R1	Set
0	0.230472762	0.361	0.105	0	R1	Atp5a1
0	0.227072632	0.359	0.105	0	R1	Ldha
0	0.212215092	0.305	0.077	0	R1	Rrm2
0	0.208091019	0.313	0.088	0	R1	Anxa1
0	0.204318116	0.317	0.097	0	R1	Tuba1b
0	0.200663959	0.314	0.099	0	R1	Ctsl
0	0.198901843	0.304	0.091	0	R1	Tm4sf1
0	0.193284797	0.322	0.104	0	R1	H3f3b
0	0.190518012	0.317	0.099	0	R1	Lgals3
0	0.179820358	0.251	0.062	0	R1	Ddx39
4.61E-303	0.255860686	0.513	0.227	7.41E-299	R1	Cd44
3.39E-302	0.223717927	0.41	0.159	5.45E-298	R1	Hspd1
1.78E-301	0.168095767	0.259	0.073	2.86E-297	R1	Hells
2.46E-298	0.204376901	0.363	0.13	3.95E-294	R1	Hnrnpk
6.74E-298	0.17440589	0.29	0.089	1.08E-293	R1	Cct7
9.79E-287	0.210814509	0.381	0.144	1.57E-282	R1	Pfn1
6.43E-285	0.228847958	0.396	0.155	1.03E-280	R1	Nid1
8.09E-275	0.170850836	0.278	0.087	1.30E-270	R1	Eno1
2.63E-274	0.213776855	0.406	0.164	4.22E-270	R1	Txnrd1
2.42E-270	0.167556751	0.277	0.088	3.88E-266	R1	Ranbp1
1.73E-268	0.115475045	0.156	0.031	2.78E-264	R1	Hnrnpf
9.54E-268	0.239579819	0.499	0.229	1.53E-263	R1	Lpp
1.44E-267	0.180231302	0.3	0.101	2.31E-263	R1	Tagln2
5.29E-260	0.149416357	0.233	0.067	8.49E-256	R1	Cct4
5.03E-258	0.122522253	0.172	0.039	8.08E-254	R1	Anxa5
2.14E-257	0.117823574	0.155	0.032	3.43E-253	R1	Ccne2
2.98E-257	0.18548475	0.327	0.119	4.78E-253	R1	Gapdh
1.34E-256	0.20079094	0.397	0.163	2.16E-252	R1	Mbnl1
1.39E-253	0.174707223	0.314	0.112	2.24E-249	R1	Rps2
3.26E-253	0.102484576	0.133	0.024	5.23E-249	R1	Rbmxl1
1.87E-251	0.204019827	0.403	0.17	3.00E-247	R1	Dek
3.65E-250	0.136387947	0.209	0.057	5.87E-246	R1	Cd9
1.23E-249	0.214020226	0.47	0.214	1.98E-245	R1	Rack1
3.34E-249	0.201157434	0.401	0.168	5.37E-245	R1	Slc25a4
3.56E-249	0.160121883	0.267	0.087	5.72E-245	R1	Mtpn
2.18E-248	0.235002512	0.583	0.298	3.50E-244	R1	Sf3b1
3.01E-248	0.105907557	0.139	0.027	4.84E-244	R1	Phgdh
1.65E-246	0.185994337	0.358	0.141	2.65E-242	R1	Psmd1
3.35E-246	0.149710366	0.24	0.073	5.38E-242	R1	Prdx1
9.59E-242	0.159274471	0.274	0.092	1.54E-237	R1	Atp5f1
2.32E-240	0.190818427	0.341	0.134	3.72E-236	R1	Ank
2.86E-240	0.156567095	0.256	0.083	4.59E-236	R1	Srsf3
3.64E-240	0.212277089	0.429	0.189	5.85E-236	R1	Hmga2
