region	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
chr2:172903078-172908248	3.32E-196	0.775368421	0.363	0.102	9.13E-191	A1
chr3:102366065-102367020	1.99E-158	0.674394304	0.378	0.128	5.49E-153	A1
chr3:84293492-84294354	2.17E-134	0.591455004	0.388	0.143	5.98E-129	A1
chr15:95370260-95371614	8.88E-131	0.571767953	0.4	0.153	2.45E-125	A1
chr7:82070017-82071753	2.57E-128	0.858591418	0.197	0.048	7.08E-123	A1
chr4:137255465-137256361	1.22E-118	0.65282872	0.288	0.095	3.35E-113	A1
chr2:180440837-180444909	2.95E-112	0.606740453	0.31	0.111	8.14E-107	A1
chr8:79255117-79257264	1.96E-111	0.510932983	0.401	0.164	5.40E-106	A1
chrX:99607757-99610890	3.93E-108	0.731504527	0.223	0.067	1.08E-102	A1
chr8:94921990-94924800	6.58E-105	0.554949565	0.332	0.127	1.81E-99	A1
chr8:120925580-120927445	1.56E-101	0.700265931	0.223	0.069	4.29E-96	A1
chr7:145000996-145002674	3.31E-99	0.746228686	0.2	0.059	9.11E-94	A1
chr6:127693203-127694905	4.22E-98	0.789067427	0.172	0.046	1.16E-92	A1
chr8:94109441-94111453	1.30E-95	0.548192777	0.31	0.119	3.59E-90	A1
chr5:139098775-139100263	3.66E-95	0.540320463	0.324	0.129	1.01E-89	A1
chr11:72500939-72502841	8.54E-95	0.611171905	0.266	0.096	2.35E-89	A1
chr6:91209701-91212179	1.25E-91	0.558166257	0.294	0.114	3.43E-86	A1
chr8:89663581-89664508	6.29E-91	0.653262035	0.235	0.081	1.73E-85	A1
chr8:84457589-84461845	5.07E-89	0.59196686	0.248	0.088	1.40E-83	A1
chr5:112886391-112889695	1.10E-88	0.507576473	0.313	0.123	3.02E-83	A1
chr8:94826247-94827777	2.54E-86	0.670916916	0.211	0.07	7.00E-81	A1
chr17:52600572-52602924	3.46E-85	0.583971133	0.25	0.091	9.54E-80	A1
chr7:144970204-144972771	1.63E-84	0.571198576	0.253	0.093	4.48E-79	A1
chr15:73918550-73920420	2.82E-78	0.529242292	0.271	0.108	7.77E-73	A1
chr4:141296990-141298686	2.27E-76	0.500796783	0.288	0.12	6.24E-71	A1
